Keysight E1733A String Table
English

[3202],Display help information when the mouse cursor moves over an item,Display help information when the mouse cursor moves over an item
[3203],Leave extra margin on selected side of paper,Leave extra margin on selected side of paper

[4001],Click to start linear measurement |Calibrate the accuracy of a linear guide,Click to start linear measurement |Calibrate the accuracy of a linear guide
[4002],Click to start rotary measurement |Calibrate the accuracy of a rotary stage,Click to start rotary measurement |Calibrate the accuracy of a rotary stage
[4003],Click to start angular measurement |Measure pitch or yaw along a linear path,Click to start angular measurement |Measure pitch or yaw along a linear path
[4004],Click to start way straightness measurement |Use angular optics to make straightness measurements at multiple points along a machine part such as a milling machine way.,Click to start way straightness measurement |Use angular optics to make straightness measurements at multiple points along a machine part such as a milling machine way.
[4005],Click to start time base linear measurement |Measure linear displacement over time,Click to start time base linear measurement |Measure linear displacement over time
[4006],Click to start straightness measurement |Use straightness optics to determine if a machine’s moveable part is moving along a straight path,Click to start straightness measurement |Use straightness optics to determine if a machine’s moveable part is moving along a straight path
[4007],"Click to start diagonal measurement |Use for volumetric analysis, as described in ANSI standard B5.54","Click to start diagonal measurement |Use for volumetric analysis, as described in ANSI standard B5.54"
[4008],"Click to start squareness measurement |Use to determine if two machine axes are oriented, and move, perpendicular to each other","Click to start squareness measurement |Use to determine if two machine axes are oriented, and move, perpendicular to each other"
[4009],Click to start the parallelism measurement |Use to determine if two machine axes move parallel to each other,Click to start the parallelism measurement |Use to determine if two machine axes move parallel to each other
[4010],Click to start the flatness measurement |Measure the flatness error of a surface plate,Click to start the flatness measurement |Measure the flatness error of a surface plate
[4011],Click to start dual axis measurement |Calibrate the linear position accuracy of two linear guide synchronously,Click to start dual axis measurement |Calibrate the linear position accuracy of two linear guide synchronously
[4012],Click to start time base angular measurement |Measure angle value over time,Click to start time base angular measurement |Measure angle value over time
[4013],Click to start time base straightness measurement |Measurement straightness value over time,Click to start time base straightness measurement |Measurement straightness value over time
[4014],Setup basic options,Setup basic options
[4015],Open the help file,Open the help file
[4016],Exit the program,Exit the program
[4017],Open an existing file |Start or review a measurement using saved data,Open an existing file |Start or review a measurement using saved data
[4018],Display one less decimal place,Display one less decimal place
[4019],Display one more decimal place,Display one more decimal place
[4020],Change the sign of upper display number,Change the sign of upper display number
[4021],Change the sign of lower display number,Change the sign of lower display number
[4022],The status of the measurement module of second axis |Click to enter hardware setup menu,The status of the measurement module of second axis |Click to enter hardware setup menu
[4023],The software is running in demo mode |Click to enter hardware setup menu,The software is running in demo mode |Click to enter hardware setup menu
[4024],The status of the laser head |Click to enter the hardware setup menu,The status of the laser head |Click to enter the hardware setup menu
[4025],The status of the second laser head |Click to enter the hardware setup menu,The status of the second laser head |Click to enter the hardware setup menu
[4026],The status of the single axis measurement module |Click to enter the hardware setup menu,The status of the single axis measurement module |Click to enter the hardware setup menu
[4027],The status of the sensor interface card |Click to enter the hardware setup menu,The status of the sensor interface card |Click to enter the hardware setup menu
[4028],The communication status of the single axis measurement module |Click to enter the hardware setup menu,The communication status of the single axis measurement module |Click to enter the hardware setup menu
[4029],Display the line correspond to the number on the right side as the first line,Display the line correspond to the number on the right side as the first line
[4030],Select the program to use for the download operation,Select the program to use for the download operation
[4031],Run the selected download program,Run the selected download program
[4032],Increase font size,Increase font size
[4033],Decrease font size,Decrease font size
[4034],Display the graph symmetrically,Display the graph symmetrically
[4035],Display the graph,Display the graph
[4036],"Enlarge the designated area |Press left button of the mouse, drag the pointer, and release the button","Enlarge the designated area |Press left button of the mouse, drag the pointer, and release the button"
[4037],Zoom in,Zoom in
[4038],Zoom out,Zoom out
[4039],Copy the current data or graph to the clipboard,Copy the current data or graph to the clipboard
[4040],The status of the measurement,The status of the measurement
[4041],The progress of the measurement,The progress of the measurement
[4042],Compensation table |Double click to enlarge or reduce,Compensation table |Double click to enlarge or reduce
[4043],Machine information |Double click to enter machine information menu,Machine information |Double click to enter machine information menu
[4044],Measurement setup |Double click to  enter measurement setup interface,Measurement setup |Double click to  enter measurement setup interface
[4045],Measurement results |Double click to enter the data analysis menu,Measurement results |Double click to enter the data analysis menu
[4046],Save measurement settings or data,Save measurement settings or data
[4047],Print measurement results or report,Print measurement results or report
[4048],Start or continue the measurement,Start or continue the measurement
[4049],Record measurement data manually,Record measurement data manually
[4050],Pause the measurement,Pause the measurement
[4051],Display help information,Display help information
[4052],Stop the measurement,Stop the measurement
[4053],Erase the measurement data,Erase the measurement data
[4054],"Reset laser data, erase error mark","Reset laser data, erase error mark"
[4055],"Input measurement settings, measurement data or machine information","Input measurement settings, measurement data or machine information"
[4056],Set up parameters,Set up parameters
[4057],Hardware information of the connected equipment,Hardware information of the connected equipment
[4058],The information of the connection and distribution of the sensors,The information of the connection and distribution of the sensors
[4059],The list of the target positions,The list of the target positions
[4060],The list of the target positions of the second axis,The list of the target positions of the second axis
